goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18662	     19197 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18650	     19188 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18747	     19116 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18998	     19471 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18291	     18846 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18392	     20948 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18358	     19677 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   18664	     19168 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   19069	     19270 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   17119	     21466 ns/op	   72336 B/op	     114 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1509	    223469 ns/op	 1266133 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1624	    234134 ns/op	 1266132 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1460	    220472 ns/op	 1266131 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1670	    230362 ns/op	 1266135 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1614	    217179 ns/op	 1266133 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1695	    220802 ns/op	 1266132 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1609	    232386 ns/op	 1266134 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1513	    232994 ns/op	 1266135 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1651	    220816 ns/op	 1266132 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	    1714	    234073 ns/op	 1266132 B/op	     533 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      48	   7921776 ns/op	34450438 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      56	   7235801 ns/op	34450432 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      54	   6919069 ns/op	34450433 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      52	   7125735 ns/op	34450432 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      55	   7137631 ns/op	34450432 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      50	   6785325 ns/op	34450432 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      52	   7165444 ns/op	34450432 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      54	   7702146 ns/op	34450432 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      54	   7245074 ns/op	34450483 B/op	    4194 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	      51	   6771569 ns/op	34450479 B/op	    4194 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	   95679	      3719 ns/op	   11880 B/op	      29 allocs/op
