goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21766	     16656 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   20778	     16502 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21774	     16650 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21708	     17252 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21615	     16694 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   20546	     17571 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   20998	     16865 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21630	     17028 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     168	   2526346 ns/op	10597496 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     164	   2124451 ns/op	10597500 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     160	   2286284 ns/op	10597504 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     170	   2099108 ns/op	10597505 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     170	   2155937 ns/op	10597498 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     168	   2067538 ns/op	10597508 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     172	   2150817 ns/op	10597497 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     169	   2115061 ns/op	10597497 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     165	   2112745 ns/op	10597501 B/op	    1709 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     164	   2061119 ns/op	10597498 B/op	    1709 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  172830	      1958 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  185079	      1938 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  184387	      2011 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  172005	      2038 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  175518	      1967 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  187089	      1955 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  160639	      1978 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  181489	      1957 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  186912	      1933 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  185635	      1932 ns/op	    5096 B/op	      25 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  277177	      1320 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  276543	      1299 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  276080	      1286 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  281820	      1278 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  274962	      1286 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  282685	      1314 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  285225	      1295 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  283794	      1291 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  278012	      1283 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  280046	      1284 ns/op	    2664 B/op	      18 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133226238	         2.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133633369	         2.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	134620432	         2.677 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133580911	         2.712 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133909536	         2.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133044412	         2.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	134725538	         2.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	132867313	         2.712 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133036833	         2.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133529278	         2.679 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/s1onique/leamas/internal/factory/dupcode	72.454s
