goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  222861	      1636 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  212364	      1719 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  207949	      1654 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  223470	      1677 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	131162413	         2.745 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128723348	         2.770 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128259711	         2.932 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129510378	         2.911 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	120812125	         2.802 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	100000000	         3.621 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	99378880	         3.811 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	115556876	         2.789 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128793135	         2.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129971425	         2.753 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     154	   2372118 ns/op	 2032470 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     154	   2332273 ns/op	 2032537 B/op	    3001 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     147	   2375715 ns/op	 2032504 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     151	   2465688 ns/op	 2032556 B/op	    3001 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     144	   2315713 ns/op	 2032540 B/op	    3001 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     153	   2324079 ns/op	 2032487 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     156	   2384118 ns/op	 2032528 B/op	    3001 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     153	   2301806 ns/op	 2032467 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     154	   2325843 ns/op	 2032501 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     154	   2357385 ns/op	 2032508 B/op	    3001 allocs/op
PASS
ok  	github.com/s1onique/leamas/internal/factory/dupcode	61.066s
